종목명,종목코드,시가총액_억원,시장구분
세방전지,004490,9170,유가증권
STX엔진,077970,9134,유가증권
RISE 미국나스닥100,368590,9129,ETF
GKL,114090,9099,유가증권
SK네트웍스,001740,9061,유가증권
지역난방공사,071320,9031,유가증권
국일제지,078130,9019,코스닥
코오롱인더,120110,8985,유가증권
TIGER 종합채권(AA-이상)액티브,451540,8916,ETF
동양생명,082640,8891,유가증권
삼성화재우,000815,8865,유가증권
넥슨게임즈,225570,8852,코스닥
SNT에너지,100840,8810,유가증권
SOL 초단기채권액티브,469830,8799,ETF
SK디스커버리,006120,8789,유가증권
위메이드,112040,8776,코스닥
미원상사,002840,8740,유가증권
HS효성첨단소재,298050,8696,유가증권
SNT홀딩스,036530,8625,유가증권
유일로보틱스,388720,8589,코스닥
TIGER 단기통안채,157450,8560,ETF
교보증권,030610,8467,유가증권
NICE평가정보,030190,8450,유가증권
빙그레,005180,8447,유가증권
SOL 종합채권(AA-이상)액티브,436140,8356,ETF
KIWOOM 200TR,294400,8275,ETF
로보티즈,108490,8271,코스닥
태영건설,009410,8230,유가증권
프레스티지바이오파마,950210,8221,유가증권
PLUS 고배당주,161510,8201,ETF
미래에셋증권2우B,00680K,8195,유가증권
미원에스씨,268280,8175,유가증권
KODEX 25-11 은행채(AA-이상)PLUS액티브,476810,8172,ETF
KODEX 2차전지산업,305720,8147,ETF
세아베스틸지주,001430,8141,유가증권
레이크머티리얼즈,281740,7940,코스닥
TIGER 미국30년국채스트립액티브(합성 H),458250,7926,ETF
와이씨,232140,7917,코스닥
하나투어,039130,7915,유가증권
필옵틱스,161580,7850,코스닥
동원F&B,049770,7844,유가증권
율촌화학,008730,7837,유가증권
PLUS K방산,449450,7752,ETF
CJ CGV,079160,7741,유가증권
동성화인텍,033500,7737,코스닥
KODEX Top5PlusTR,315930,7698,ETF
동국제약,086450,7657,코스닥
SNT모티브,064960,7630,유가증권
TIGER 단기채권액티브,272580,7593,ETF
SOL 미국배당다우존스,446720,7576,ETF
에스에프에이,056190,7559,코스닥
N2 KIS CD금리투자 ETN,550082,7545,ETN
대상,001680,7519,유가증권
피엔티,137400,7515,코스닥
ACE 종합채권(AA-이상)KIS액티브,356540,7514,ETF
성광벤드,014620,7513,코스닥
영풍,000670,7500,유가증권
유진테크,084370,7482,코스닥
솔루엠,248070,7410,유가증권
TIGER 2차전지테마,305540,7406,ETF
케이카,381970,7401,유가증권
보령,003850,7395,유가증권
대덕전자,353200,7393,유가증권
TIGER 미국나스닥100타겟데일리커버드콜,486290,7375,ETF
현대힘스,460930,7368,코스닥
HLB생명과학,067630,7315,코스닥
동아쏘시오홀딩스,000640,7314,유가증권
LG화학우,051915,7289,유가증권
에스앤에스텍,101490,7283,코스닥
이노션,214320,7188,유가증권
전진건설로봇,079900,7107,유가증권
파미셀,005690,7100,유가증권
펌텍코리아,251970,7006,코스닥
KODEX 미국S&P500(H),449180,7003,ETF
SK이터닉스,475150,6970,유가증권
안랩,053800,6965,코스닥
